domain|verdict|program_type|source_step|program_url|platform|notes
elastic.co|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
deloitte.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ansys.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
exabeam.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://exabeam.com/security.txt
expel.io|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://expel.io/.well-known/security.txt
elevenlabs.io|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
docusign.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
devtron.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
epic.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
envoy.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
facebook.com|FOUND|PAID_BOUNTY|security.txt||self-hosted|security.txt found at https://facebook.com/.well-known/security.txt
experian.com|FOUND|PAID_BOUNTY|security_page|https://hackerone.com/experian|hackerone|Found at https://experian.com/responsible-disclosure
figma.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/figma|hackerone|security.txt found at https://figma.com/.well-known/security.txt
extrahop.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
duo.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
druva.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
elasticpath.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
endor.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fireeye.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fairwinds.com|FOUND|VDP_ONLY|security_page|https://fairwinds.com/responsible-disclosure|self-hosted|Found at https://fairwinds.com/responsible-disclosure
esper.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fivetran.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fortinet.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://fortinet.com/.well-known/security.txt
dataminr.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
freshworks.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/freshworks|hackerone|security.txt found at https://freshworks.com/.well-known/security.txt
dynatrace.com|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://dt-url.net/l7038f0
featurespace.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fullstory.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://fullstory.com/.well-known/security.txt
fluentd.org|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
fastly.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
gemini.google.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
github.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/github|hackerone|security.txt found at https://github.com/.well-known/security.txt
gitlab.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/gitlab/|hackerone|security.txt found at https://gitlab.com/.well-known/security.txt
forestadmin.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
gartner.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
flexera.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
gcp.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
flashpoint.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
grammarly.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/grammarly/thanks|hackerone|security.txt found at https://grammarly.com/.well-known/security.txt
gitleaks.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
greenhouse.io|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/greenhouse?type=team|hackerone|security.txt found at https://greenhouse.io/.well-known/security.txt
datto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
forgerock.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
frontegg.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hackerone.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/security/reports/new|hackerone|security.txt found at https://hackerone.com/security.txt
google.com|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://g.co/vulnz
gusto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
glovo.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
grafana.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hashicorp.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hubspot.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/hubspot/thanks|hackerone|security.txt found at https://hubspot.com/.well-known/security.txt
guardicore.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ibm.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/ibm?type=team|hackerone|security.txt found at https://ibm.com/.well-known/security.txt
f5.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
illumio.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://illumio.com/security.txt
indeed.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
heap.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
heroku.com|FOUND|VDP_ONLY|security_page|https://heroku.com/security|self-hosted|Found at https://heroku.com/security
intigriti.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
invicti.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://invicti.com/.well-known/security.txt
ionic.io|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://ionic.io/.well-known/security.txt
gong.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
humio.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
jfrog.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://jfrog.com/.well-known/security.txt
jamf.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://jamf.com/.well-known/security.txt
jira.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://jira.com/.well-known/security.txt
baidu.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
globant.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
informatica.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
huntress.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
hootsuite.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
imperva.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
kandji.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ivanti.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
forescout.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
azure.microsoft.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
linkedin.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/linkedin|hackerone|security.txt found at https://linkedin.com/.well-known/security.txt
lacework.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
launchdarkly.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
freshdesk.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
jumpcloud.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
linode.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
legalzoom.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
linear.app|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
mattermost.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://mattermost.com/.well-known/security.txt
looker.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
medallia.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://medallia.com/.well-known/security.txt
ironnet.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
maxmind.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mandiant.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
medium.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
microsoft.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://microsoft.com/.well-known/security.txt
mixpanel.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/mixpanel|hackerone|security.txt found at https://mixpanel.com/.well-known/security.txt
knowbe4.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
meta.com|FOUND|PAID_BOUNTY|security.txt||self-hosted|security.txt found at https://meta.com/.well-known/security.txt
netscout.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://netscout.com/.well-known/security.txt
mcafee.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mongodb.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/mongodb|hackerone|security.txt found at https://mongodb.com/.well-known/security.txt
keyfactor.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
newrelic.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/newrelic|hackerone|security.txt found at https://newrelic.com/.well-known/security.txt
mimecast.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://mimecast.com/.well-known/security.txt
keeper.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
highspot.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
lumu.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
nokia.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://nokia.com/.well-known/security.txt
nmap.org|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
noname.security|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
netspi.com|FOUND|VDP_ONLY|security_page|https://netspi.com/vulnerability-disclosure|self-hosted|Found at https://netspi.com/vulnerability-disclosure
malwarebytes.com|FOUND|PAID_BOUNTY|security_page|https://malwarebytes.com/bug-bounty|self-hosted|Found at https://malwarebytes.com/bug-bounty
okta.com|FOUND|PAID_BOUNTY|security.txt|https://bugcrowd.com/okta|bugcrowd|security.txt found at https://okta.com/.well-known/security.txt
nozominetworks.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://nozominetworks.com/security.txt
notion.so|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://www.notion.so/Responsible-Disclosure-Policy-5f18bb6b86804eaf989c006131778b9c
openai.com|FOUND|PAID_BOUNTY|security.txt|https://bugcrowd.com/openai|bugcrowd|security.txt found at https://openai.com/.well-known/security.txt
opsgenie.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://opsgenie.com/.well-known/security.txt
nexthink.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
orca.security|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://orca.security/.well-known/security.txt
leapwork.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
nightfall.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
logrhythm.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
netsuite.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
outreach.io|FOUND|VDP_ONLY|security_page|https://outreach.io/responsible-disclosure|self-hosted|Found at https://outreach.io/responsible-disclosure
panther.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
onfido.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
paypal.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/paypal|hackerone|security.txt found at https://paypal.com/.well-known/security.txt
nvidia.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mulesoft.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
pagerduty.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
infoblox.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
pluralsight.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/pluralsight|hackerone|security.txt found at https://pluralsight.com/.well-known/security.txt
pingidentity.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://pingidentity.com/.well-known/security.txt
netskope.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
paloaltonetworks.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
postman.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/postman|hackerone|security.txt found at https://postman.com/.well-known/security.txt
oracle.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
recordedfuture.com|FOUND|PAID_BOUNTY|security.txt|https://bugcrowd.com/engagements/recorded-future-mbb-og|bugcrowd|security.txt found at https://recordedfuture.com/.well-known/security.txt
rapid7.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://rapid7.com/.well-known/security.txt
recorded-future.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
juniper.net|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
relativity.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://relativity.com/.well-known/security.txt
reddit.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
onspring.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
mend.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
proofpoint.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
rubrik.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
nowsecure.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
redcanary.com|FOUND|VDP_ONLY|security_page|https://redcanary.com/responsible-disclosure|self-hosted|Found at https://redcanary.com/responsible-disclosure
plaid.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
perimeter81.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
pentera.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
semgrep.dev|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
shopify.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/shopify|hackerone|security.txt found at https://shopify.com/.well-known/security.txt
signal.org|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://signal.org/.well-known/security.txt
slack.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/slack/|hackerone|security.txt found at https://slack.com/.well-known/security.txt
sendgrid.com|FOUND|PAID_BOUNTY|security_page|https://sendgrid.com/security|self-hosted|Found at https://sendgrid.com/security
snyk.io|FOUND|PAID_BOUNTY|security.txt||intigriti|security.txt found at https://snyk.io/.well-known/security.txt
qualys.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
splunk.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://splunk.com/.well-known/security.txt
spotify.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://spotify.com/.well-known/security.txt
sap.com|NOT_FOUND|N/A|not_found|||security.txt found, contact=https://www.sap.com/report-a-vulnerability
resilinc.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
sailpoint.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
stackhawk.com|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://stackhawk.com/.well-known/security.txt
forcepoint.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
eset.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
supabase.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/supabase|hackerone|security.txt found at https://supabase.com/.well-known/security.txt
securityscorecard.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
sumo-logic.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
carbonblack.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
square.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
tenable.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/tenable|hackerone|security.txt found at https://tenable.com/.well-known/security.txt
tableau.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
tanium.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
terraform.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
tines.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
trivy.dev|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
twitter.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/twitter|hackerone|security.txt found at https://twitter.com/.well-known/security.txt
salesforce.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
synopsys.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ping.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
twilio.com|FOUND|PAID_BOUNTY|security_page|https://twilio.com/security|self-hosted|Found at https://twilio.com/security
sonatype.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
vercel.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/vercel-open-source|hackerone|security.txt found at https://vercel.com/.well-known/security.txt
threatlocker.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
stytch.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
vanta.com|FOUND|VDP_ONLY|security_page|https://vanta.com/disclosure|self-hosted|Found at https://vanta.com/disclosure
swimlane.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
vectra.ai|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
palo-alto.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
wiz.io|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
webex.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
yelp.com|FOUND|PAID_BOUNTY|security.txt|https://hackerone.com/yelp|hackerone|security.txt found at https://yelp.com/.well-known/security.txt
zoom.us|FOUND|VDP_ONLY|security.txt||self-hosted|security.txt found at https://zoom.us/.well-known/security.txt
zendesk.com|FOUND|PAID_BOUNTY|security.txt|https://bugcrowd.com/engagements/zendesk|bugcrowd|security.txt found at https://zendesk.com/.well-known/security.txt
trendmicro.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
vmware.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
workday.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
veracode.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
uptycs.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
varonis.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
sumologic.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
xdr.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
sentinelone.com|NOT_FOUND|N/A|not_found|||security.txt found but no bounty indicators
samsara.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
zynga.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
verizon.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
wazuh.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
panaseer.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
zscaler.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
epiq.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
ford.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
secureworks.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
servicenow.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
sophos.com|NOT_FOUND|N/A|not_found|||No program found after full 5-step check
